market_id,player_1,player_2,odds_player_1_x,odds_player_2_x,actual_winner,winner_name,loser_name,match_date,player_1_clean,player_2_clean,selection_id_1,selection_id_2,odds_player_1_y,odds_player_2_y,odds_player_1,odds_player_2,implied_prob_1,implied_prob_2,odds_margin,implied_diff
1.215654813,Harriet Dart,Diane Parry,1.57,1.3,Diane Parry,Diane Parry,Harriet Dart,2023-07-03,harriet dart,diane parry,8595916,12737413,1.57,1.3,1.57,1.3,0.6369426751592356,0.7692307692307692,1.4061734443900047,-0.13228809407153352
1.215655521,Shuai Zhang,Donna Vekic,8.0,1.15,Donna Vekic,Donna Vekic,Shuai Zhang,2023-07-03,shuai zhang,donna vekic,2386498,6603944,8.0,1.15,8.0,1.15,0.125,0.8695652173913044,0.9945652173913044,-0.7445652173913044
1.215655549,Anastasia Potapova,Celine Naef,1.21,5.7,Anastasia Potapova,Anastasia Potapova,Celine Naef,2023-07-03,anastasia potapova,celine naef,10554735,55928813,1.21,5.7,1.21,5.7,0.8264462809917356,0.17543859649122806,1.0018848774829636,0.6510076845005075
1.21565555,Belinda Bencic,Katie Swan,1.37,130.0,Belinda Bencic,Belinda Bencic,Katie Swan,2023-07-03,belinda bencic,katie swan,6390244,9607742,1.37,130.0,1.37,10.0,0.7299270072992701,0.1,0.82992700729927,0.6299270072992701
1.215655849,Tereza Martincova,Nadia Podoroska,12.0,1.09,Nadia Podoroska,Nadia Podoroska,Tereza Martincova,2023-07-03,tereza martincova,nadia podoroska,7335514,9042349,12.0,1.09,10.0,1.09,0.1,0.9174311926605504,1.0174311926605504,-0.8174311926605504
1.215656157,Kaia Kanepi,Veronika Kudermetova,21.0,1.04,Veronika Kudermetova,Veronika Kudermetova,Kaia Kanepi,2023-07-03,kaia kanepi,veronika kudermetova,2250864,8279497,21.0,1.04,10.0,1.04,0.1,0.9615384615384615,1.0615384615384615,-0.8615384615384615
1.21565619,Yulia Putintseva,Beatriz Haddad Maia,17.5,1.03,Beatriz Haddad Maia,Beatriz Haddad Maia,Yulia Putintseva,2023-07-03,yulia putintseva,beatriz haddad maia,4259580,7083752,17.5,1.03,10.0,1.03,0.1,0.970873786407767,1.070873786407767,-0.870873786407767
1.215656834,Carol Zhao,Tamara Korpatsch,1.98,2.02,Tamara Korpatsch,Tamara Korpatsch,Carol Zhao,2023-07-03,carol zhao,tamara korpatsch,7550871,9166525,1.98,2.02,1.98,2.02,0.5050505050505051,0.49504950495049505,1.0001000100010002,0.010001000100010038
1.215657518,Sofia Kenin,Cori Gauff,3.95,21.0,Sofia Kenin,Sofia Kenin,Coco Gauff,2023-07-03,sofia kenin,cori gauff,9149629,19249131,3.95,21.0,3.95,10.0,0.2531645569620253,0.1,0.3531645569620253,0.15316455696202527
1.215657557,Lauren Davis,Jessica Pegula,110.0,1.01,Jessica Pegula,Jessica Pegula,Lauren Davis,2023-07-03,lauren davis,jessica pegula,4176991,6215852,110.0,1.01,10.0,1.01,0.1,0.9900990099009901,1.0900990099009902,-0.8900990099009901
1.215658439,Ons Jabeur,Magdalena Frech,1.01,1000.0,Ons Jabeur,Ons Jabeur,Magdalena Frech,2023-07-03,ons jabeur,magdalena frech,6161111,8444351,1.01,1000.0,1.01,10.0,0.9900990099009901,0.1,1.0900990099009902,0.8900990099009901
1.21565844,Madison Keys,Sonay Kartal,1.19,55.0,Madison Keys,Madison Keys,Sonay Kartal,2023-07-03,madison keys,sonay kartal,3800907,26309908,1.19,55.0,1.19,10.0,0.8403361344537815,0.1,0.9403361344537815,0.7403361344537815
1.215658974,Elisabetta Cocciaretto,Maria Camila Osorio Serrano,2.84,1.54,Elisabetta Cocciaretto,Elisabetta Cocciaretto,Camila Osorio,2023-07-03,elisabetta cocciaretto,maria camila osorio serrano,18848114,23677835,2.84,1.54,2.84,1.54,0.35211267605633806,0.6493506493506493,1.0014633254069873,-0.2972379732943113
1.215659491,Heather    Watson,Barbora Krejcikova,20.0,1.25,Barbora Krejcikova,Barbora Krejcikova,Heather Watson,2023-07-03,heather    watson,barbora krejcikova,4174997,8784972,20.0,1.25,10.0,1.25,0.1,0.8,0.9,-0.7000000000000001
1.215660282,Petra Martic,Linda Fruhvirtova,1.01,100.0,Petra Martic,Petra Martic,Linda Fruhvirtova,2023-07-03,petra martic,linda fruhvirtova,2346703,22108508,1.01,100.0,1.01,10.0,0.9900990099009901,0.1,1.0900990099009902,0.8900990099009901
1.215660986,Ekaterina Alexandrova,Emma Navarro,1.02,100.0,Ekaterina Alexandrova,Ekaterina Alexandrova,Emma Navarro,2023-07-03,ekaterina alexandrova,emma navarro,8681458,10410355,1.02,100.0,1.02,10.0,0.9803921568627451,0.1,1.080392156862745,0.8803921568627451
1.215661026,Petra Kvitova,Jasmine Paolini,1.13,9.4,Petra Kvitova,Petra Kvitova,Jasmine Paolini,2023-07-03,petra kvitova,jasmine paolini,2497008,8944356,1.13,9.4,1.13,9.4,0.8849557522123894,0.10638297872340426,0.9913387309357937,0.7785727734889851
1.215661278,Katie Boulter,Daria Saville,1.66,2.6,Katie Boulter,Katie Boulter,Daria Saville,2023-07-03,katie boulter,daria saville,8619018,42231870,1.66,2.6,1.66,2.6,0.6024096385542169,0.3846153846153846,0.9870250231696015,0.21779425393883234
1.215661725,Viktorija Golubic,Anna Karolina Schmiedlova,1.03,34.0,Viktorija Golubic,Viktorija Golubic,Anna Karolina Schmiedlova,2023-07-03,viktorija golubic,anna karolina schmiedlova,7283232,40900202,1.03,34.0,1.03,10.0,0.970873786407767,0.1,1.070873786407767,0.870873786407767
1.21566236,Lin Zhu,I Swiatek,15.0,1.07,Iga Swiatek,Iga Swiatek,Lin Zhu,2023-07-03,lin zhu,i swiatek,8714569,55228386,15.0,1.07,10.0,1.07,0.1,0.9345794392523364,1.0345794392523364,-0.8345794392523365
1.215662379,Caroline Garcia,Katie Volynets,1.19,85.0,Caroline Garcia,Caroline Garcia,Katie Volynets,2023-07-03,caroline garcia,katie volynets,5248977,13369546,1.19,85.0,1.19,10.0,0.8403361344537815,0.1,0.9403361344537815,0.7403361344537815
1.215662789,Victoria Azarenka,Yue Yuan,1.09,4.0,Victoria Azarenka,Victoria Azarenka,Yue Yuan,2023-07-03,victoria azarenka,yue yuan,2263640,9634353,1.09,4.0,1.09,4.0,0.9174311926605504,0.25,1.1674311926605503,0.6674311926605504
1.215662976,Madison Brengle,Sara Errani,1.03,1000.0,Madison Brengle,Madison Brengle,Sara Errani,2023-07-03,madison brengle,sara errani,2263603,2309567,1.03,1000.0,1.03,10.0,0.970873786407767,0.1,1.070873786407767,0.870873786407767
1.21566301,Marketa Vondrousova,Peyton Stearns,1.26,4.9,Marketa Vondrousova,Marketa Vondrousova,Peyton Stearns,2023-07-03,marketa vondrousova,peyton stearns,9433253,13835088,1.26,4.9,1.26,4.9,0.7936507936507936,0.2040816326530612,0.9977324263038548,0.5895691609977324
1.215663011,Xiyu Wang,Mirra Andreeva,5.3,1.01,Mirra Andreeva,Mirra Andreeva,Xiyu Wang,2023-07-03,xiyu wang,mirra andreeva,11352357,49006396,5.3,1.01,5.3,1.01,0.18867924528301888,0.9900990099009901,1.178778255184009,-0.8014197646179713
1.215663427,Cristina Bucsa,Kamilla Rakhimova,1.26,4.8,Cristina Bucsa,Cristina Bucsa,Kamilla Rakhimova,2023-07-03,cristina bucsa,kamilla rakhimova,9629258,11144238,1.26,4.8,1.26,4.8,0.7936507936507936,0.20833333333333334,1.001984126984127,0.5853174603174602
1.215663428,Julia Grabher,Danielle Collins,9.6,1.11,Danielle Collins,Danielle Collins,Julia Grabher,2023-07-03,julia grabher,danielle collins,8681454,9626845,9.6,1.11,9.6,1.11,0.10416666666666667,0.9009009009009008,1.0050675675675675,-0.7967342342342342
1.21566395,Anna-Lena Friedsam,Alycia Parks,1.72,2.38,Alycia Parks,Alycia Parks,Anna Lena Friedsam,2023-07-03,anna lena friedsam,alycia parks,7593369,11233227,1.72,2.38,1.72,2.38,0.5813953488372093,0.42016806722689076,1.0015634160641,0.16122728161031857
1.215664362,Yanina Wickmayer,Anna Blinkova,1.89,2.1,Anna Blinkova,Anna Blinkova,Yanina Wickmayer,2023-07-03,yanina wickmayer,anna blinkova,2386943,9635244,1.89,2.1,1.89,2.1,0.5291005291005292,0.47619047619047616,1.0052910052910053,0.05291005291005302
1.215664539,Dalma Galfi,Linda Noskova,3.85,1.36,Dalma Galfi,Dalma Galfi,Linda Noskova,2023-07-03,dalma galfi,linda noskova,9304691,22088831,3.85,1.36,3.85,1.36,0.2597402597402597,0.7352941176470588,0.9950343773873185,-0.47555385790679905
